Recipe URL,Recipe Title,Description/Summary,Cover Image URL,Prep Time (minutes),Cook Time (minutes),Servings/Serves,Difficulty Level,Ingredients List,Step-by-Step Instructions,Calories,Protein,Carbs,Fat,Fiber,Cuisine Type,Meal Type,Tags,Rating (Average),Rating (Count)
https://www.allrecipes.com/recipe/8508776/homemade-pasta-roni/,Homemade Pasta Roni,Homemade pasta roni is a quick and easy midweek meal.,https://www.allrecipes.com/thmb/4usy3EsYHA5mKgh07rGuARO9NLM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8508776-Pasta-Roni-thedailygourmet-8508778-4x3-1-7639cecbf2794dc8a57f237b25ef9ec1.jpg,5,10,2 servings,,"2 cups chicken broth; 3 ounces angel hair pasta; 1 tablespoon butter; 1 clove garlic, minced; 0.5 teaspoon Italian seasoning; 0.25 cup heavy cream; 0.75 cup finely shredded Parmesan cheese; 1 teaspoon minced fresh parsley, or to taste","Bring chicken broth in a saucepan to a boil over medium-high heat. Cook angel hair pasta in the boiling broth, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes.
Drain pasta, reserving 1/4 cup of chicken broth.
Melt butter in a saucepan over medium-low heat; add garlic and cook until fragrant, about 30 seconds. Stir in Italian seasoning, reserved 1/4 cup chicken broth, and whipping cream. Add Parmesan cheese and stir until melted.
Stir in angel hair pasta; toss to coat. Garnish with freshly minced parsley.",423 kcal,18 g,28 g,27 g,2 g,,,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Protein, Potassium, Shrimp Pasta with Lemon-Butter Sauce1Rating, Greek Yogurt Carbonara10Ratings, Quick and Easy Chicken Spaghetti258Ratings, Old Bay Shrimp and Pasta Alfredo8Ratings, Lemon Shrimp Pasta5Ratings, Pasta with Asparagus301Ratings, Easy Ranch Spaghetti Carbonara, Pasta Con Sarde (Pasta with Sardines)45Ratings, Spaghetti Carbonara I49Ratings, Delicious Angel Hair Pasta13Ratings, Avocado Carbonara for Two1Rating, Champagne Shrimp and Pasta644Ratings, Easy Chicken and Broccoli Alfredo159Ratings, Chef John's Spaghetti alla Carbonara275Ratings, Healthy",4.5,13
https://www.allrecipes.com/recipe/47015/quick-and-easy-pancit/,Quick and Easy Pancit,"This pancit recipe is easy to make with stir-fried chicken, shredded cabbage, and sliced carrots tossed with rice noodles and flavored with soy sauce.",https://www.allrecipes.com/thmb/Cdbkvquzs3vm1sdHMWOFmhZF2FA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM-47015-quick-and-easy-pancit-ddmfs-3x4-2671-a0c27b0ad0da4b33ab7fc736cd7e7d7c.jpg,15,15,6 servings,,"1 (12 ounce) package dried rice noodles; 1 teaspoon vegetable oil; 1 onion, finely diced; 3 cloves garlic, minced; 2 cups diced cooked chicken breast meat; 1 small head cabbage, thinly sliced; 4 carrot, thinly sliced; 0.25 cup soy sauce; 2 lemons - cut into wedges, for garnish","Gather all ingredients.
Place rice noodles in a large bowl; cover with warm water and let soften for 8 to 10 minutes. Drain and set aside.
Meanwhile, heat oil in a wok or large skillet over medium-low heat. Add onion and garlic; cook and stir until onion is tender, about 3 to 5 minutes. Stir in chicken, cabbage, carrots, and soy sauce. Cook until cabbage begins to soften.
Toss in noodles and cook, stirring constantly, until heated through.
Transfer pancit to a serving dish and garnish with lemon wedges.",369 kcal,18 g,65 g,5 g,7 g,"Filipino,American",Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Vitamin C, Calcium, Iron, Potassium, Authentic Filipino Pancit12Ratings, Filipino Pancit Bihon with Canton, Classic Pad Thai31Ratings, Pancit Molo (Filipino Wonton Soup)4Ratings, Thai Stir-Fried Noodles (Pad See Ew)2Ratings, Chicken Stir-Fry with Ramen5Ratings, Pancit Sotanghon2Ratings, Grandma Nena's Lumpia and Pancit34Ratings, Authentic Pad Thai297Ratings, A Pad Thai Worth Making206Ratings, Mild Thai Beef with a Tangerine Sauce6Ratings, Spicy Kimchi Chicken Rotini2Ratings, Quick and Easy Chicken and Tomato Pasta57Ratings, Healthy",4.4,523
https://www.allrecipes.com/recipe/23431/to-die-for-fettuccine-alfredo/,To Die For Fettuccine Alfredo,"Fettuccine Alfredo with Romano and Parmesan cheeses, cream, and butter. This delicious sauce for fettuccine pasta is rich in taste yet simple to make.",https://www.allrecipes.com/thmb/ey5aal-JHk7PoNP92is_VCambmA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-23431-to-die-for-fettuccine-alfredo-DDMFS-beauty-3x4-b64d36c7ff314cb39774e261c5b18352.jpg,15,15,6 servings,,24 ounces dry fettuccine pasta; 1 cup butter; 0.75 pint heavy cream; salt and pepper to taste; 1 dash garlic salt; 0.75 cup grated Romano cheese; 0.5 cup grated Parmesan cheese,"Gather all ingredients.
Bring a large pot of lightly salted water to a boil. Add fettuccine pasta and cook for 8 to 10 minutes or until al dente; drain.
Melt butter into cream in a large saucepan over low heat; add salt, pepper, and garlic salt.
Increase the heat to medium; stir in grated Romano and Parmesan cheese until melted and sauce has thickened.
Add cooked pasta to sauce and toss until thoroughly coated; serve immediately.",964 kcal,24 g,84 g,61 g,4 g,Italian,Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Vitamin C, Calcium, Iron, Potassium, Mushroom Tortellini Alfredo2Ratings, Lighter Mushroom Tortellini Alfredo2Ratings, Homemade Chicken Fettuccine258Ratings, Creamy Ham and Asparagus Fettuccine139Ratings, Lighter Chicken Fettuccine Alfredo140Ratings, Instant Pot® Angel Hair Alfredo Pasta1Rating, Cajun Shrimp and Sausage Alfredo2Ratings, Steak and Mushroom Tortellini Alfredo4Ratings, Chicken Fettuccine Alfredo, Instant Pot Chicken Alfredo5Ratings, Creamy Sun-Dried Tomato Fettuccine2Ratings, Quick One-Pot Chicken Alfredo30Ratings, Skinny Alfredo Sauce42Ratings, Cream Cheese Alfredo Sauce133Ratings, Three-Ingredient Keto Alfredo Sauce8Ratings, Healthy, Three-Ingredient Keto Alfredo Sauce",4.7,2331
https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/,Quick Beef Stir-Fry,This beef stir-fry recipe is quick and easy for busy weeknights. Thin slices of beef sirloin are stir-fried with colorful vegetables and soy sauce.,https://www.allrecipes.com/thmb/7N-Xq1XMMJw8G0KJv2e0ETUYB2I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228823-quick-beef-stir-fry-DDMFS-4x3-1f79b031d3134f02ac27d79e967dfef5.jpg,15,10,4 servings,,"2 tablespoons vegetable oil; 1 pound beef sirloin, cut into 2-inch strips; 1.5 cups fresh broccoli florets; 1 red bell pepper, cut into matchsticks; 2 carrots, thinly sliced; 1 green onion, chopped; 1 teaspoon minced garlic; 2 tablespoons soy sauce; 2 tablespoons sesame seeds, toasted","Gather all ingredients.
Heat vegetable oil in a large wok or skillet over medium-high heat; add beef and stir-fry until browned, 3 to 4 minutes.
Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok; stir-fry vegetables for 2 minutes.
Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes.
Serve hot and enjoy!",268 kcal,23 g,9 g,16 g,3 g,Chinese,Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Vitamin C, Calcium, Iron, Potassium, Black Pepper Beef and Cabbage Stir Fry785Ratings, Beef with Green Onion37Ratings, Broccoli Beef I1,112Ratings, Mongolian Beef and Spring Onions1,199Ratings, Chicken Yaki Udon11Ratings, Orange Peel Beef56Ratings, Easy Keto Korean Beef with Cauli Rice43Ratings, Healthy Steak Stir-Fry13Ratings, Fake Sukiyaki6Ratings, Beef with Vegetables91Ratings, Quick and Easy Teriyaki Beef Stir-Fry16Ratings, Thai Stir-Fried Noodles (Pad See Ew)2Ratings, Japanese Minced Beef4Ratings, Air Fryer Mini Italian Meatloaves for Two, Chinese Pepper Steak1,074Ratings, Sweet and Sour Chicken Stir-Fry611Ratings, Healthy, Healthy Steak Stir-Fry, Easy Keto Korean Beef with Cauli Rice",4.5,472
https://www.allrecipes.com/recipe/11887/pesto-pasta/,Pesto Pasta,"This pesto pasta dish is a deliciously easy midweek meal you can make in just 15 minutes with any pasta, basil pesto sauce, and Parmesan cheese.",https://www.allrecipes.com/thmb/SPv966QBGw3pYJveVLwrW8m-QfY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-RM-11887-pesto-pasta-ddmfs-3x4-deed54c61faa4c95a4cd467e5f4066ab.jpg,5,10,8 servings,,1 (16 ounce) package pasta; 2 tablespoons olive oil; 0.5 cup chopped onion; 2.5 tablespoons pesto; salt to taste; ground black pepper to taste; 2 tablespoons grated Parmesan cheese,"Gather all ingredients.
Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook pasta uncovered, stirring occasionally, until tender yet firm to the bite, about 8 to 10 minutes. Drain and transfer into a large bowl.
Meanwhile, heat oil in a frying pan over medium-low heat. Add onion; cook and stir until softened, about 3 minutes.
Stir in pesto, salt, and pepper until warmed through.
Add pesto mixture to hot pasta; stir in grated cheese and toss well to coat.",225 kcal,8 g,32 g,7 g,3 g,"Italian Inspired,Italian",Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Vitamin C, Calcium, Iron, Potassium, Garlicky Pesto Salmon with Penne, Noodles64Ratings, Pesto Cavatappi, Lemon Orzo Primavera202Ratings, Quick and Easy Chicken Spaghetti258Ratings, Chicken Milano2,813Ratings, Vegetarian Bolognese with Soy Chorizo1Rating, Spaghetti alla Carbonara108Ratings, Presto Pesto Hamburger Mac102Ratings, Ziti with Tomato-Pesto Sauce36Ratings, Easy Meatballs33Ratings, Cavatappi with Roasted Broccoli and Pesto1Rating, Creamy Chicken and Tomatillo Verde Pasta, Lemon-Pepper Chicken Pasta3Ratings, Healthy, Vegetarian Bolognese with Soy Chorizo",4.5,218
https://www.allrecipes.com/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/,Spicy Thai Basil Chicken (Pad Krapow Gai),"Chef John's version of this classic Thai dish, made with freshly chopped chicken thighs and fresh basil, has a rich sauce that cooks down into a caramelized glaze.",https://www.allrecipes.com/thmb/NimapCyPk8WQ1gcO-4J5Y6SQgLk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/257938-spicy-thai-basil-chicken-chef-john-4x3-84457b900e2e4ec5823e8ace55df7b34.jpg,15,10,2 servings,,"0.33333334326744 cup chicken broth; 1 tablespoon oyster sauce; 1 tablespoon soy sauce, or as needed; 2 teaspoons fish sauce; 1 teaspoon white sugar; 1 teaspoon brown sugar; 2 tablespoons vegetable oil; 1 pound skinless, boneless chicken thighs, coarsely chopped; 0.25 cup sliced shallots; 4 cloves garlic, minced; 2 tablespoons minced Thai chilies, Serrano, or other hot pepper; 1 cup very thinly sliced fresh basil leaves; 2 cups hot cooked rice","Gather ingredients.
Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended.
Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes.
Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes.
Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute.
Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat.
Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice.
Serve hot and enjoy!",715 kcal,50 g,59 g,30 g,1 g,Thai,Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Vitamin C, Calcium, Iron, Potassium, Pad Se Eew47Ratings, Thai Ground Chicken Basil139Ratings, Thai Chicken Thighs4Ratings, Thai Tamarind Chicken2Ratings, Thai Chicken with Basil Stir Fry445Ratings, A Pad Thai Worth Making206Ratings, Thai Chicken197Ratings, Gkai Kamin14Ratings, Thai Spicy Basil Chicken Fried Rice201Ratings, Authentic Thai Cashew Chicken101Ratings, Thai Curry Chicken25Ratings, Spicy Thai Peanut Noodles6Ratings, Classic Pad Thai31Ratings, Thai Cashew Chicken117Ratings, Becky's Slow Cooker Gluten-Free Thai Chicken Curry, Healthy, Khao Man Gai Thai Chicken and Rice (Healthy Version)",4.8,1253
https://www.allrecipes.com/recipe/72068/chicken-katsu/,Chicken Katsu,Chicken katsu is a Japanese-style fried chicken cutlet coated with crispy panko. Serve with hot rice and tonkatsu sauce for a restaurant-worthy dish.,https://www.allrecipes.com/thmb/6-GMzVI_cA_5HqdfG8jXXAANPo0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/image-2000-1-ed10b562f0a34901b18e8f931f0782ef.jpg,15,10,4 servings,,"4 skinless, boneless chicken breast halves - pounded to 1/2 inch thickness; salt and pepper to taste; 2 tablespoons all-purpose flour; 1 egg, beaten; 1 cup panko bread crumbs; 1 cup oil for frying, or as needed","Gather all ingredients.
Season chicken breasts on both sides with salt and pepper.
Place flour, beaten egg, and panko crumbs into separate shallow dishes.
Coat chicken breasts in flour, shaking off any excess; dip into egg, and then press into panko crumbs until well coated on both sides.
Heat oil in a large skillet over medium-high heat. Place chicken in the hot oil, and fry until golden brown, 3 or 4 minutes per side. Transfer to a paper towel-lined plate to drain.
Serve and enjoy.",297 kcal,31 g,22 g,11 g,0 g,Japanese,Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Calcium, Iron, Potassium, Baked Chicken Schnitzel313Ratings, Juicy Chicken32Ratings, Baked Garlic Parmesan Chicken3,328Ratings, Kid-Friendly Chicken Katsu, Angela's Easy Breaded Chicken374Ratings, Yakisoba Chicken539Ratings, Muenster Chicken and Mushrooms149Ratings, Japanese-Style Deep Fried Chicken77Ratings, 6 Katsu Recipes to Try ASAP, Chicken Supreme IV59Ratings, Lemon Chicken Tenders356Ratings, Chicken Monterey257Ratings, Buffalo Chicken Sushi Roll2Ratings, Healthy",4.7,931
https://www.allrecipes.com/recipe/16311/simple-beef-stroganoff/,Simple Beef Stroganoff,This easy beef stroganoff recipe with ground beef is made rich and creamy with sour cream and mushroom soup and ready to serve in under 30 minutes.,https://www.allrecipes.com/thmb/Rh2NialypvMY-ory6lY4_6cFPvE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16311-simple-beef-stroganoff-DDMFS-4x3-1e966286eef54c0f96c882e569926eb3.jpg,5,15,4 servings,,1 (8 ounce) package egg noodles; 1 pound ground beef; 1 (10.5 ounce) can fat-free condensed cream of mushroom soup; 1 tablespoon garlic powder; 0.5 cup sour cream; salt and ground black pepper to taste,"Gather all ingredients.
Sauté ground beef in a large skillet over medium heat until browned and crumbly; 5 to 10 minutes.
Meanwhile, fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes. Drain and set aside.
Drain and discard any fat from the cooked beef. Stir condensed soup and garlic powder into the beef. Simmer for 10 minutes, stirring occasionally.
Remove beef from the heat. Add egg noodles and stir to combine. Stir in sour cream and season with salt and pepper.
Serve hot and enjoy!",679 kcal,29 g,48 g,41 g,3 g,American,Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Vitamin C, Calcium, Iron, Potassium, Simple Hamburger Stroganoff1,124Ratings, Easy Ground Beef Stroganoff436Ratings, Asian Ground Beef Noodle Bowls39Ratings, Cheese and Hamburger Macaroni172Ratings, Dad's Spaghetti44Ratings, Presto Pesto Hamburger Mac102Ratings, Quick and Easy Hamburger Stroganoff329Ratings, Penne with Cauliflower and Beef Sauce, Speedy Chili Mac and Cheese, Buttered Noodles278Ratings, Spaghetti alla Carbonara108Ratings, Noodles64Ratings, Healthy",4.4,1051
https://www.allrecipes.com/recipe/8887/chicken-marsala/,Chicken Marsala,Chicken Marsala is an Italian-style dish of tender pan-fried chicken breasts in a sweet Marsala wine and mushroom sauce.,https://www.allrecipes.com/thmb/3Wlwc5yDGFPIFPTj_PdWTYDqTL8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8887-chicken-marsala-DDMFS-4x3-a0be8776efe74429a586af0ac1d7c1dd.jpg,10,20,4 servings,,"0.25 cup all-purpose flour for coating; 0.5 teaspoon salt; 0.25 teaspoon ground black pepper; 0.5 teaspoon dried oregano; 4 medium skinless, boneless chicken breast halves - pounded 1/4 inch thick; 4 tablespoons butter; 4 tablespoons olive oil; 1 cup sliced mushrooms; 0.5 cup Marsala wine; 0.25 cup cooking sherry","Gather all ingredients.
In a shallow dish or bowl, mix together the flour, salt, pepper and oregano.
Coat chicken pieces in flour mixture.
In a large skillet, melt butter in olive oil over medium heat. Place chicken in the pan, and lightly brown.
Turn over chicken pieces, and add mushrooms. Pour in wine and sherry.
Cover skillet; simmer chicken 10 minutes, turning once, until no longer pink and juices run clear.
Serve hot and enjoy!",448 kcal,29 g,13 g,27 g,1 g,Italian,Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Total Sugars, Protein, Vitamin C, Calcium, Iron, Potassium, Garlic Wine Chicken70Ratings, Easy Tomato Chicken Marsala18Ratings, Creamy Chicken Marsala93Ratings, Easier Chicken Marsala849Ratings, Chicken and Broccoli Pasta235Ratings, Instant Pot® Chicken Marsala6Ratings, Quick Chicken Piccata1,782Ratings, Easy Paleo Chicken Marsala6Ratings, Easy Chicken Saltimbocca101Ratings, Chicken Milanese86Ratings, Chicken Marsala Florentine525Ratings, Italian Beer Marinated Chicken13Ratings, Tender Italian Baked Chicken1,490Ratings, Boneless Chicken Cacciatore4Ratings, Healthy",4.6,6024
https://www.allrecipes.com/recipe/201934/pan-seared-tilapia/,Pan-Seared Tilapia,"Learn how to cook tilapia with this simple, 15-minute recipe for pan-seared tilapia. This easy method produces delicious, flavorful fillets the whole family will enjoy.",https://www.allrecipes.com/thmb/qvJciCvMkIkaEotJTHHA3jHkEDo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/201934-pan-seared-tilapia-DDMFS-4x3-1dd0e315faf2477397af2a235e2c3ade.jpg,5,10,4 servings,,"4 (4 ounce) tilapia fillets; salt and ground black pepper to taste; 0.5 cup all-purpose flour; 1 tablespoon olive oil; 2 tablespoons unsalted butter, melted; 1 tablespoon lemon juice, or to taste; 1 teaspoon chopped fresh flat-leaf parsley, or to taste; 0.5 teaspoon chopped fresh thyme, or to taste","Gather the ingredients.
Rinse tilapia fillets in cold water and pat dry with paper towels. Season both sides of each fillet with salt and pepper.
Place flour in a shallow dish. Gently press each fillet into the flour to coat and shake off any excess.
Heat olive oil in a large skillet over medium-high heat. Cook tilapia fillets in the hot oil, in batches if necessary, until fish flakes easily with a fork, about 4 minutes per side.
Brush melted butter onto the tilapia fillets in the last minute before removing from the skillet. Drizzle fillets with lemon juice and garnish with parsley and thyme.",249 kcal,25 g,12 g,11 g,0 g,American,Dinner,"Rate, Share, Keep Screen Awake, Show Full Nutrition Label, Hide Full Nutrition Label, Servings Per Recipe, Calories, Total Fat, Saturated Fat, Cholesterol, Sodium, Total Carbohydrate, Dietary Fiber, Protein, Vitamin C, Calcium, Iron, Potassium, Tilapia in Stewed Tomatoes9Ratings, Broiled Lemon-Pepper Tilapia3Ratings, Simple Ranchy Breaded Fish Fillets449Ratings, Tamra's Microwave Tilapia36Ratings, Parmesan Crusted Tilapia Fillets812Ratings, Crispy Breaded Tilapia14Ratings, Tilapia Fillets with Mango Salsa1Rating, Grilled Tilapia with Smoked Paprika52Ratings, Shepherd's Family Favorite Broiled Tilapia1Rating, Easy Pan-Fried Tilapia1Rating, Coconut-Crusted Tilapia (Paleo)27Ratings, Potato-Crusted Tilapia2Ratings, Panko-Crusted Tilapia6Ratings, Grilled Herbed Tilapia in Foil Packets3Ratings, Broiled Parmesan-Lemon Tilapia296Ratings, Healthy, Super easy, tasty and healthy!",4.7,852
