Recipe URL,Recipe Title,Description/Summary,Cover Image URL,Prep Time (minutes),Cook Time (minutes),Servings/Serves,Difficulty Level,Ingredients List,Step-by-Step Instructions,Calories,Protein,Carbs,Fat,Fiber,Cuisine Type,Meal Type,Tags,Rating (Average),Rating (Count)
https://www.bbcgoodfood.com/recipes/mexican-chicken-stew-quinoa-beans,Mexican chicken stew with quinoa & beans,Spicy chicken casserole with a healthy superfood side dish of protein-rich quinoa,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-889478_10-e0864f1.jpg?resize=440,400",25,30,5 servings,,"1 tbsp olive oil; 1 onion sliced; 2 red peppers deseeded and chopped into largish chunks; 3 tbsp chipotle paste; 2 x 400g cans chopped tomatoes; 4 skinless chicken breasts; 140g quinoa; 2 chicken stock cubes; 1 x 400g can pinto beans drained; small bunch coriander most chopped, a few leaves left whole; juice 1 lime; 1 tbsp sugar; natural yogurt to serve","Heat the oil in a deep frying pan and fry the onions and peppers for a few mins until softened. Stir in the chipotle paste for a minute, followed by the tomatoes. Add up to a tomato can-full of water to cover the chicken and bring to a gentle simmer. Add the chicken breasts and gently simmer, turning the chicken occasionally, for 20 mins until the chicken is cooked through.
Bring a large saucepan of water to the boil with the stock cubes. Add the quinoa and cook for 15 mins until tender, adding the beans for the final min. Drain well and stir in the coriander and lime juice, then check for seasoning before covering to keep warm.
Lift the chicken out onto a board and shred each breast using two forks. Stir back into the tomato sauce with the sugar and season. Serve with the quinoa, scattering the stew with some coriander leaves just before dishing up and eating with a dollop of yogurt on the side.",336 calories,33.4 grams protein,34.7 grams carbohydrates,6 grams fat,4.1 grams fiber,Mexican,"Dinner, Main course","Josh Eagleton, 30-60 minutes, 4 servings, 400 kcal or less, Bulgar wheat, Casserole, Chicken casserole, Couscous, Grains, Healthy, Mains, Mexican beans, Mexican feast, Sarah Cook, Stew and beans, Tex-mex",,
https://www.bbcgoodfood.com/recipes/chicken-chorizo-jambalaya,Chicken & chorizo jambalaya,"A healthy Cajun-inspired rice pot recipe that's bursting with spicy Spanish sausage, sweet peppers and tomatoes","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1274503_8-05ae02b.jpg?resize=440,400",10,45,4 servings,,1 tbsp olive oil; 2 chicken breasts chopped; 1 onion diced; 1 red pepper thinly sliced; 2 garlic cloves crushed; 75g chorizo sliced; 1 tbsp Cajun seasoning; 250g long grain rice; 400g can plum tomato; 350ml chicken stock,"Heat 1 tbsp olive oil in a large frying pan with a lid over a medium-high heat and brown 2 chopped chicken breasts for 5-8 mins until golden.
Remove and set aside. Tip in the 1 diced onion and cook for 3-4 mins until soft.
Add 1 thinly sliced red pepper, 2 crushed garlic cloves, 75g sliced chorizo and 1 tbsp Cajun seasoning, and cook for 5 mins more.
Stir the chicken back in with 250g long grain rice, add the 400g can of tomatoes and 350ml chicken stock. Cover and simmer over a medium heat for 20-25 mins until the rice is tender.
Good Food deserves great wine, so we've partnered with Laithwaites Wine to help you discover the perfect wine and food pairings. Pair your chicken and chorizo jambalya with Camino de Seva from the Good Food Wine Subscription Case at just £5.59 a bottle for new customers with code 30OFF.",445 calories,30 grams protein,64 grams carbohydrates,10 grams fat,2 grams fiber,Cajun &amp; Creole,"Dinner, Main course","Chicken and chorizo stew, Chicken breasts, Chorizo, Easy, easy healthy dinner, Five a day, Good Food, healthy rice recipe, healthy Spanish recipe, Low fat, One-pot, One-pot recipes, Quick, Rice dish, Super healthy, Vitamin c, Low Calorie Diet",,
https://www.bbcgoodfood.com/recipes/bean-enchiladas,Vegetarian enchiladas,"Pack flavour into your meal with these easy veggie enchiladas that are filled with nutritious ingredients. This comforting, cheesy dish is the perfect crowd-pleasing family dinner","https://images.immediate.co.uk/production/volatile/sites/30/2011/01/Vegetarian-enchiladas-50345cc.jpg?resize=1366,1242",10,30,4 servings,,"1 tsp olive oil; 2 onions chopped; 280g carrots grated; 2-3 tsp chilli powder (mild or hot, according to your taste); 2 x 400g cans chopped tomatoes; 2 x 400g cans pulses in water, drained (we used mixed beans and lentils); 6 small wholemeal tortillas; 200g low-fat natural yogurt; 50g extra-mature cheddar cheese (or veg alternative), finely grated","Heat the oil in a large frying pan. Cook the onions and carrots for 5-8 mins until soft – add a splash of water if they start to stick. Sprinkle in the chilli powder and cook for 1 min more. Pour in the tomatoes and pulses and bring to the boil. Turn down the heat and simmer for 5-10 mins, stirring occasionally, until thickened. Remove from the heat and season well.
Heat grill to high. Spread a spoonful of the bean chilli over a large ovenproof dish. Lay each tortilla onto a board, fill with a few tbsp of chilli mixture, fold over the ends and roll up to seal. Place them into the ovenproof dish. Spoon the remaining chilli on top.
Mix the yogurt and grated cheese together with some seasoning, and spoon over the enchiladas. Grill for a few mins until the top is golden and bubbling. Serve with a green salad.",430 calories,23 grams protein,60 grams carbohydrates,13 grams fat,15 grams fiber,Mexican,"Dinner, Main course","Bean, Bean chilli, Burritos, Calcium, Carrot, Carrots, Cheddar, Chilli powder, Easy, Enchiladas, Enchilladas, Fajitas, Five a day, Good Food, goodhealth, Healthy vegetarian recipes, High fibre, Iron, Natural yogurt, Olive oil, Pulses, Super healthy, Tomato, Tomatoes, Tortilla, Tortillas, Vegetable chilli, Vegetarian, Veggie mexican recipes, Vitamin c, Vegetarian Diet",,
https://www.bbcgoodfood.com/recipes/crispy-chilli-turkey-noodles,Crispy chilli turkey noodles,"Crisp-fried turkey mince in a chilli, soy and garlic sauce atop udon noodles makes for a savoury 20-minute meal that's low in fat but big on flavour","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/crispy-chilli-turkey-noodles-9b735d1.jpg?resize=440,400",5,15,4 servings,,"2 tbsp sesame oil; 500g turkey mince; 5cm piece ginger grated; 1 large garlic clove crushed; 3 tbsp honey; 3 tbsp soy sauce; 1 tbsp hot sriracha chilli sauce; 350g dried udon noodles; 2 limes juiced, plus wedges to serve (optional); 2 large carrots peeled and cut into matchsticks; 4 spring onions shredded; 1 small bunch coriander sliced (optional)","Heat 1 tbsp oil in a large non-stick frying pan over a high heat. Once hot, add the turkey mince to the pan and fry for 10-12 mins until golden brown and crispy, breaking up the meat with a wooden spoon as you go. Add the ginger and garlic to the pan and cook for 1 min. Stir in the honey, soy and chilli sauce and cook for 2 mins.
Meanwhile, bring a large pan of water to the boil, add the noodles and cook following pack instructions. Drain and toss the noodles with the remaining 1 tbsp oil and all the lime juice, then divide between bowls. Top with the crispy turkey mince, carrot, onion and coriander. Serve with extra lime wedges for squeezing over, if you like.",566 calories,40 grams protein,83 grams carbohydrates,8 grams fat,2 grams fiber,,"Dinner, Supper","Chilli, Esther Clark, Low fat, Midweek meals, Noodles, Quick, Turkey",,
https://www.bbcgoodfood.com/recipes/chicken-stroganoff,Chicken stroganoff,"Use chicken thigh fillets if you prefer in this chicken stroganoff, and use half-fat soured cream for a lighter version. Enjoy with pasta, mash or rice.","https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Chicken-Stroganoff-06462c0.jpg?resize=900,836",15,30,4 servings,,"2 tbsp olive oil; 4 skinless chicken breasts cut into chunks; 2 onions finely chopped; 4 garlic cloves crushed; 1 tbsp sweet paprika; 400ml chicken stock; 4 tsp Dijon mustard; 2 tbsp Worcestershire sauce; 200g soured cream or crème fraiche; a large handful of parsley chopped; rice mash or pasta, to serve","Heat half the oil in a frying pan and fry the chicken pieces over a medium high heat, stirring frequently. until golden brown. Season and transfer to a plate.
Heat the remaining oil and lower the heat to medium. Fry the onion for 6-8 mins until softened but not golden, then stir in the garlic and paprika. Fry for a minute until fragrant, then pour in the stock, and add the Dijon and Worcestershire sauce. Tip in the seared chicken with any resting juices, and simmer for 5-6 mins until reduced slightly and the chicken is cooked through.
Over a low heat, stir in the soured cream until just combined to create a creamy sauce, and it’s just started to simmer. Scatter over the parsley and serve with rice, mash or pasta, if you like.",425 calories,43 grams protein,11 grams carbohydrates,23 grams fat,3 grams fiber,,Dinner,"Casserole, Chicken, family dishes, Stroganoff",,
https://www.bbcgoodfood.com/recipes/chicken-satay-curry,Chicken satay curry,"Love satay chicken skewers? This creamy, peanut-packed curry brings all those flavours into a comforting dinner. Serve with rice and a squeeze of lime","https://images.immediate.co.uk/production/volatile/sites/30/2025/07/Satay-Curry-9f24f27.jpg?resize=900,836",10,30,6 servings,,"1 tbsp neutral oil; 1 onion finely chopped; 2 garlic cloves finely chopped; 2 tsp ginger (approx 4cm piece), grated; 2 tbsp mild or medium curry powder; 2 tsp ground turmeric; 500g skinless, boneless chicken thighs cut into bite-sized pieces; 400ml coconut milk; 8 tbsp unsweetened peanut butter; 2 tbsp sriracha; 2 tsp fish sauce; 1 tbsp caster sugar; 1 lemongrass stalk; 150g green beans halved; 1 red pepper thinly sliced; 50g salted or roasted peanuts roughly chopped; fresh coriander leaves; cooked rice; lime wedges","Heat the oil in a large frying pan over a medium heat. Fry the onion with a good pinch of salt for around 5 mins until beginning to soften. Add the garlic and ginger and fry for 2 mins. Stir in the curry powder and turmeric and stir-fry for a further minute or so. Tip the chicken into the pan, coating in the spicy onion mixture and cook for 3-4 mins until sealed.
Pour the coconut milk and 200ml water into the pan along with the peanut butter, sriracha, fish sauce and sugar. Stir to combine. Remove any woody outer leaves of the lemongrass and bash with the end of a rolling pin. Cut in half and place in the curry. Bring to a simmer and cook for 10 mins until the sauce has thickened and the chicken is cooked.
Add the green beans and red pepper and simmer for another 4-5 mins until just cooked. Taste and add any extra sugar, fish sauce or salt as necessary. Remove the lemongrass before serving.
Stir through most of the peanuts, then top with coriander and the remaining peanuts. Serve with rice and lime wedges on the side for squeezing over.",480 calories,26 grams protein,15 grams carbohydrates,34 grams fat,5 grams fiber,,Dinner,"Chicken curry, Chicken satay, Peanut curry, Satay",,
https://www.bbcgoodfood.com/recipes/salmon-risotto,Salmon risotto,"Creamy rice and tender salmon make a comforting dinner. Stir through lemon juice and parmesan before serving this easy, delicious meal that's full of omega 3 and high in protein","https://images.immediate.co.uk/production/volatile/sites/30/2023/03/Salmon-risotto-ae398a0.jpg?resize=900,836",15,60,4 servings,,"1 l chicken stock; 4 salmon fillets; 2 tbsp olive oil; 50g butter; 1 onion very finely diced; 1 garlic clove crushed or finely grated; 250g arborio rice; 300ml white wine; 100g frozen peas; ½ lemon juiced and zested; 50g parmesan grated, plus extra to serve","Bring the chicken stock to a simmer in a saucepan over a medium heat, add the salmon fillets and poach for 6 mins or until just cooked. Remove from the pan, leaving the stock behind, and set aside to cool for 2-3 mins before removing the skin. Keep on a low heat or remove and leave the lid on to keep the stock as warm as possible.
Heat the oil and half the butter in a large frying pan over a medium-low heat and, once the butter has melted, scatter in the onion and cook for 10-12 mins until softened but not golden. Add the garlic, stir and cook for 1 min before stirring in the rice and cooking for 2 mins until well coated in the oil.
Pour in the wine, turn up the heat to medium, and cook for 4-5 mins until evaporated. Keep the pan on the heat and pour in about a quarter of the reserved chicken stock. Stirring often until the stock has been absorbed by the rice, about 4-5 mins. Repeat three more times, adding the next batch once the previous one has been absorbed. With the final batch, add the peas and flake in the cooked salmon fillets. Season with lots of freshly ground black pepper and cook for 3-4 mins until the rice is tender and the peas and salmon are heated through. If the rice needs a little more cooking or the stock absorbs too quickly, add a splash more hot water.
Remove the risotto from the heat and stir through the remaining butter, lemon juice and parmesan. Scatter over the lemon zest, if you like, then serve straightaway.",806 calories,40 grams protein,59 grams carbohydrates,39 grams fat,4 grams fiber,,Dinner,"Arborio rice, Fish, Rice, Risotto, Salmon",,
https://www.bbcgoodfood.com/recipes/spicy-cajun-chicken-quinoa,Spicy Cajun chicken quinoa,Protein-packed quinoa makes this midweek meal a superhealthy option,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-589462_11-7e45ab1.jpg?resize=440,400",10,25,4 servings,,4 skinless chicken breasts cut into bite-sized pieces; 1 tbsp Cajun seasoning; 100g quinoa; 600ml hot chicken stock; 100g dried apricots sliced; ½ x 250g pouch ready-to-use Puy lentils; 1 tbsp olive oil; 2 red onions cut into thin wedges; 1 bunch spring onions chopped; small bunch coriander chopped,"Heat oven to 200C/180C fan/gas 6. Toss the chicken with the Cajun spice and arrange in a single layer in a roasting tin. Bake for 20 mins until the chicken is cooked. Set aside.
Meanwhile, cook the quinoa in the chicken stock for 15 mins until tender, adding the apricots and lentils for the final 5 mins. Drain and place into a large bowl with the chicken, toss together.
While the quinoa is cooking, heat the oil in a large frying pan and soften the onions for 10-15 mins. Toss the onions into the quinoa with the coriander and some seasoning, then mix well.",386 calories,47 grams protein,35 grams carbohydrates,7 grams fat,5 grams fiber,British,"Dinner, Main course","Josh Eagleton, 30-60 minutes, 4 servings, 400 kcal or less, Cajun, Chicken, Chicken breast, Chicken breasts, Dried apricot, Dried apricots, Easy, Five a day, Good Food, goodhealth, Healthy, Healthy recipes, Lentil, Lentils, Low fat, Mains, Quick, Quinoa, Red onion, Red onions, Source of iron, Super healthy",,
https://www.bbcgoodfood.com/recipes/vegan-chickpea-curry-jacket-potato,Vegan chickpea curry jacket potatoes,"Get some protein into a vegan diet with this tasty chickpea curry jacket. It's an easy midweek meal, or filling lunch that packs a lot of flavour","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sweet-potato-curry-46f4bc8.jpg?resize=440,400",15,45,4 servings,,"4 sweet potatoes; 1 tbsp coconut oil; 1 ½ tsp cumin seeds; 1 large onion diced; 2 garlic cloves crushed; thumb-sized piece of ginger finely grated; 1 green chilli finely chopped; 1 tsp garam masala; 1 tsp ground coriander; ½ tsp turmeric; 2 tbsp tikka masala paste; 2 x 400g can chopped tomatoes; 2 x 400g can chickpeas drained; lemon wedges and coriander leaves, to serve","Heat the oven to 200C/180C fan/gas 6 or if using an air fryer heat to 200C. Prick the sweet potatoes all over with a fork, then put on a baking tray and roast in the oven for 45 mins or in air fryer basket for 50 mins or until tender when pierced with a knife.
Meanwhile, melt the coconut oil in a large saucepan over medium heat. Add the cumin seeds and fry for 1 min until fragrant, then add the onion and fry for 7-10 mins until softened.
Put the garlic, ginger and green chilli into the pan, and cook for 2-3 mins. Add the spices and tikka masala paste and cook for a further 2 mins until fragrant, then tip in the tomatoes. Bring to a simmer, then tip in the chickpeas and cook for a further 20 mins until thickened. Season.
Put the roasted sweet potatoes on four plates and cut open lengthways. Spoon over the chickpea curry and squeeze over the lemon wedges. Season, then scatter with coriander before serving.",276 calories,12 grams protein,32 grams carbohydrates,9 grams fat,11 grams fiber,,"Dinner, Lunch, Main course","Anna Berry, Autumn, Chickpea curry, Chickpeas, Comfort Food, Curry, easy vegan recipe, Good source of protein, goodhealth, Healthy jacket potato, Healthy vegan recipe, Jacket potato, Midweek meal, Spicy, Sweet potato, Vegan, vegan jacket potato, Vegetarian Diet",,
https://www.bbcgoodfood.com/recipes/fruity-lamb-tagine,Easy lamb tagine,"This fruity, Moroccan-style lamb tagine is full of goodness and guaranteed to satisfy a crowd. Save time and make this easy one-pot up to two days ahead","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1035656_11-939dd47.jpg?resize=440,400",15,90,4 servings,,2 tbsp olive oil; 500g lean diced lamb; 1 large onion roughly chopped; 2 large carrots quartered lengthways and cut into chunks; 2 garlic cloves finely chopped; 2 tbsp ras-el-hanout spice mix; 400g can chopped tomato; 400g can chickpea rinsed and drained; 200g dried apricot; 600ml chicken stock; 120g pack pomegranate seeds; 2 large handfuls coriander roughly chopped,"Heat oven to 180C/160C fan/gas 4. Heat the oil in a casserole and brown the lamb on all sides. Scoop the lamb out onto a plate, then add the onion and carrots and cook for 2-3 mins until golden. Add the garlic and cook for 1 min more. Stir in the spices and tomatoes, and season. Tip the lamb back in with the chickpeas and apricots. Pour over the stock, stir and bring to a simmer. Cover the dish and place in the oven for 1 hr.
If the lamb is still a little tough, give it 20 mins more until tender. When ready, leave it to rest so it’s not piping hot, then serve scattered with pomegranate and herbs, with couscous or rice alongside.",514 calories,38 grams protein,42 grams carbohydrates,18 grams fat,14 grams fiber,Moroccan,"Dinner, Main course","Barney Desmazery, Casserole, Chickpea, Chickpeas, Coriander, Dinner party recipes, Dried apricot, Dried apricots, Garlic clove, Garlic cloves, Healthy, Lamb, Lamb recipes, Lamb stew, Moroccan stew, Morrocan recipes, North African recipes, Olive oil, One-pot, One-pot recipes, Onion, Onions, Pomegranate, Pomegranates, Ras el hanout, Slow-cooked lamb, Tajine",,
