Recipe URL,Recipe Title,Description/Summary,Cover Image URL,Prep Time (minutes),Cook Time (minutes),Servings/Serves,Difficulty Level,Ingredients List,Step-by-Step Instructions,Calories,Protein,Carbs,Fat,Fiber,Cuisine Type,Meal Type,Tags,Rating (Average),Rating (Count)
https://www.bbcgoodfood.com/recipes/chocolate-filled-pancakes-caramelised-banana,Chocolate-filled pancakes with caramelised banana,"These fluffy, American-style pancakes have a hidden chocolatey centre and soak up the maple syrup like sponges","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chocolate-filled-pancakes-with-caramelised-bananas-14789a7.jpg?resize=440,400",25,30,4 servings,,"200g self-raising flour; 1½ tsp baking powder; 3 tbsp golden caster sugar; 3 large eggs; 25g melted butter plus extra for cooking; 200ml milk; drizzle of vegetable or sunflower oil; 200g chocolate hazelnut spread; 2 large bananas peeled and thickly sliced on an angle; maple syrup and 4 tbsp toasted, chopped hazelnuts, to serve","To make the pancake batter, mix the flour, baking powder, 1 tbsp sugar and a pinch of salt in a large bowl with a whisk. Make a well in the centre, crack in the eggs and add the melted butter and milk. Whisk the wet ingredients in the centre until combined, then gradually incorporate the dry ingredients until you have a thick, smooth batter. Transfer to a jug. Heat the oven to its lowest setting and put a couple of baking trays in to keep the pancakes warm as you cook them.
Heat a knob of butter and a drizzle of oil in a large, non-stick frying pan over a medium heat. When the butter is foaming, pour rounds of batter into the pan, about 8cm wide – leave space between them as they will expand as they cook. Scoop teaspoons of chocolate spread from the jar and pop one in the centre of each pancake, then use a tiny bit more batter to just cover the chocolate spread. Continue cooking for 1-2 mins until the underside is golden brown, then carefully flip the pancakes and cook for 1 min more on the other side. When golden, transfer to a baking tray and keep warm in the oven while you cook the next batch.
When the pancakes are all cooked, caramelise the bananas. Wipe the frying pan clean with kitchen paper and scatter in the remaining 2 tbsp sugar. Heat the sugar until it melts and starts to bubble to a deep amber colour, then toss in the bananas and coat them in the caramel. If the sugar hardens, drizzle in a little maple syrup or water, then bubble for 30 secs until syrupy.
Serve the pancakes stacked with the caramelised banana pieces between the layers and more piled on top. Drizzle over the maple syrup, then scatter over the hazelnuts.",797 calories,18 grams protein,94 grams carbohydrates,37 grams fat,6 grams fiber,American,"Breakfast, Brunch","American pancakes, Calcium, Cassie Best, chocolate pancakes, Fibre, Indulgent, Pancake day recipes, Pancake recipe, stuffed pancakes, Winter, Vegetarian Diet",,
https://www.bbcgoodfood.com/recipes/american-blueberry-pancakes,American blueberry pancakes,"Light, fluffy and fruity, these pancakes are an American classic. Serve them stacked high with syrup and extra fruit","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1273456_8-a5710e5.jpg?resize=440,400",15,20,10 pancakes,,200g self-raising flour; 1 tsp baking powder; 1 egg; 300ml milk; knob butter; 150g pack blueberry; sunflower oil or a little butter for cooking; golden or maple syrup,"Mix together 200g self-raising flour, 1 tsp baking powder and a pinch of salt in a large bowl.
Beat 1 egg with 300ml milk, make a well in the centre of the dry ingredients and whisk in the milk to make a thick smooth batter.
Beat in a knob of melted butter, and gently stir in half of the 150g pack of blueberries.
Heat a teaspoon of sunflower oil or small knob of butter in a large non-stick frying pan.
Drop a large tablespoonful of the batter per pancake into the pan to make pancakes about 7.5cm across. Make three or four pancakes at a time.
Cook for about 3 minutes over a medium heat until small bubbles appear on the surface of each pancake, then turn and cook another 2-3 minutes until golden.
Cover with kitchen paper to keep warm while you use up the rest of the batter.
Serve with golden or maple syrup and the rest of the blueberries.",109 calories,4 grams protein,18 grams carbohydrates,2 grams fat,1 grams fiber,American,"Breakfast, Brunch, Snack, Supper, Treat","American, Batter, Blueberries, Blueberry, Breakfast, Brunch, Butter, Crepe, Crêpes, Good Food, How to make pancakes, Low fat, Make ahead, Maple syrup, Occasion, Pancake day, Shrove Tuesday, Thick pancakes, Vegetarian Diet",,
https://www.bbcgoodfood.com/recipes/red-velvet-pancakes,Red velvet pancakes,"New York diner-style chocolate pancakes meet red velvet cake in this ingenious brunch dish, stacked up with a sweet maple cream cheese frosting, chocolate chips and fresh blueberries.","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/red-velvet-pancakes-cropped-recipe-page_0-efbd2ae.jpg?resize=440,400",10,20,4 servings,,200g self raising flour; 2 tbsp cocoa powder; 1 tsp baking powder; 1 tbsp golden caster sugar; ½ tsp vanilla extract; 230ml milk; 3 eggs; 25g butter melted plus extra for frying; red gel food colouring; 100g cream cheese; 4 tbsp maple syrup; 100g chocolate chips; icing sugar for dusting; handful blueberries (optional),"Mix all of the pancake ingredients (except the food colouring) together in a large bowl, whisk thoroughly until smooth. Now add a small amount of red food colouring and mix again. Add more colouring until the batter is a rich reddish brown.
Put a small knob of butter in a large non-stick frying pan over a medium-low heat and cook until melted and foaming. Pour 2 tbsp of the mixture into the pan and use the back of the spoon to shape it into a 8-9cm round disc. Depending on the size of your pan you may be able to get 2 or 3 pancakes to cook at the same time. Cook for 2-3 mins on the first side, then flip over and cook for another 1 min on the other.
Heat oven to its lowest setting and stack up the cooked pancakes on a baking tray to keep warm in the oven while you cook the rest. In a small bowl mix together the cream cheese and maple syrup then set aside until needed. To serve, stack the pancakes with the cream cheese mixture and chocolate chips in between them then finish with a final dollop of the cream cheese, a dusting of icing sugar and a few fresh blueberries if you like.",585 calories,15 grams protein,67 grams carbohydrates,28 grams fat,4 grams fiber,,"Breakfast, Brunch","best pancakes, easy pancakes, Miriam Nice, Pancake day, Shrove Tuesday, Spring, Vegetarian Diet",,
https://www.bbcgoodfood.com/recipes/rhubarb-custard-fluffy-pancakes,Rhubarb & custard fluffy pancakes,Try the classic combo of tart rhubarb and creamy custard in these dessert pancakes. Using forced rhubarb brings a pop of bright pink,"https://images.immediate.co.uk/production/volatile/sites/30/2024/01/Rhubarb-custard-fluffy-pancakes-614afb4.jpg?resize=1366,1503",15,30,8 pancakes,,175g self-raising flour; 1 tsp baking powder; 1 tbsp golden caster sugar; 2 tbsp custard powder; 200ml milk; 3 eggs; 2 tbsp butter; 8 tbsp thick custard warmed; 4 forced rhubarb stalks trimmed and cut into 4cm pieces (about 400g prepared weight); 1 medium orange juiced; 1 vanilla pod halved; 4 tbsp caster sugar,"Heat the oven to 200C/180C fan/gas 6. Put all the ingredients for the rhubarb in a roasting tin, toss to coat, ensure the rhubarb is in a single layer, cover and roast for 12-14 mins until the rhubarb is soft but still holding its shape. Spoon into a bowl, then pour the roasting juices into a pan and simmer over a medium-high heat for 3-4 mins until syrupy.
Whisk the flour, baking powder, sugar and custard powder together in a bowl. Add the milk and eggs, and whisk to a smooth batter. This is easier using a stick blender.
Melt a small knob of the butter in a non-stick frying pan over a medium heat, carefully wiping it around the base using kitchen paper. Spoon in some batter to make 8cm circles, and cook for 1-2 mins until bubbles start to appear on the surface. Flip and cook for another 1-2 mins until golden and cooked through. Repeat with the remaining pancake batter and butter.
Stack the pancakes up with the custard and poached rhubarb between each layer. Spoon over the rhubarb syrup to serve.",218 calories,7 grams protein,33 grams carbohydrates,6 grams fat,2 grams fiber,,Dessert,"Custard, Pancake day, Pancakes, Rhubarb, rhubarb and custard, Shrove Tuesday, Vegetarian Diet",,
https://www.bbcgoodfood.com/recipes/pumpkin-pancakes-salted-pecan-butterscotch,Pumpkin pancakes with salted pecan butterscotch,"Pumpkin purée makes a delicious addition to a stack of fat, fluffy pancakes - the perfect brunch to get the weekend off to a sweet start","https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pumpkin-pancakes-with-salted-pecan-butterscotch-401c9cb.jpg?resize=440,400",20,25,4 servings,,"250g pumpkin or squash, peeled, deseeded and chopped into large chunks; 2 eggs; 3 tbsp light brown soft sugar; 25g butter melted, plus a little for cooking; 125ml buttermilk (or use the same quantity of milk, with a squeeze of lemon juice); 200g plain flour; 2½ tsp baking powder; 1 tsp ground cinnamon; drizzle of flavourless oil such as sunflower or groundnut, for frying; ice cream to serve, or yogurt or crème fraîche; 50g pecans roughly chopped; 50g butter; 50g light brown soft sugar; 1 tsp sea salt flakes; 100ml double cream","Put the pumpkin or squash in a large heatproof bowl, add 1 tbsp water, cover with cling film and microwave on High for 5-8 mins or until really soft – different types will take a varying amount of time. Drain the pumpkin well and cool completely. If you want to eat the pancakes for breakfast, this step is best done the night before.
Once cool, put the pumpkin in a food processer with the remaining pancake ingredients and add a good pinch of salt. Blend until everything is well combined to a smooth, thick batter (alternatively, mash the pumpkin well, then whisk in the remaining ingredients). Transfer to a jug or piping bag and set aside while you make the butterscotch sauce.
Toast the pecans in a saucepan for 1-2 mins until a shade darker. Tip out and set aside. Add the butter, sugar, salt and cream to the pan. Bring to a simmer, then bubble gently for a few mins until you have a shiny sauce. Stir in the pecans and set aside to cool a little.
Heat a knob of butter and a drizzle of oil in a large frying pan. Heat oven to 140C/120C fan/gas 1, to keep the pancakes warm while you cook them in batches – have a baking tray to hand. When the butter is foaming, swirl it around the pan, then pour tennis-ball-sized amounts of batter into the pan – they will spread a little as they cook, so leave some space between each pancake and don’t overcrowd the pan. Cook over a low-medium heat. Don’t touch the pancakes until you see a few bubbles appear on the surface – have a look underneath and, if the pancakes are golden, flip them over and cook for another 2 mins on the other side. Transfer the cooked pancakes to the baking tray and keep warm in the oven while you continue cooking.
Once cooked, pile the pancakes onto plates, top with ice cream, yogurt or crème fraîche, and pour over the salted pecan butterscotch sauce.",717 calories,12 grams protein,68 grams carbohydrates,43 grams fat,4 grams fiber,American,"Breakfast, Brunch, Treat","Autumn, Cassie Best, Indulgent, Salted caramel, salted toffee sauce, ultimate pancakes",,
https://www.delish.com/cooking/recipe-ideas/a35645824/best-general-tsos-chickpeas-recipe/,General Tso's Chickpeas,"You know the OG dish featuring chicken, but how about a veggie-forward one that features chickpeas? We've got you covered with this super savory stir-fry.","https://hips.hearstapps.com/hmg-prod/images/general-tsos-chickpeas-socialindex-web-013-lp-del109925-695c18b95dbd7.jpg?crop=0.502xw:1.00xh;0.251xw,0&resize=1200:*",20,,2 servings,,"1 (15-oz.) can chickpeas, drained; 1 tbsp. reduced-sodium soy sauce; 1 tbsp. rice wine vinegar; 1 tbsp. Sriracha; 2 tbsp. cornstarch; 2 garlic cloves, finely grated; 1/3 c. low-sodium vegetable broth; 3 tbsp. rice wine vinegar; 2 tbsp. packed light brown sugar; 1 tbsp. finely grated peeled ginger; 1 tbsp. hoisin sauce; 1 tbsp. toasted sesame oil; 1/4 c. peanut or neutral oil; 1 long red chile, ribs and seeds removed, thinly sliced lengthwise (optional); 2 garlic cloves, thinly sliced; 1 tsp. crushed red pepper flakes; Toasted sesame seeds, thinly sliced scallions, and cooked white rice, for serving","Chickpeas
In a medium bowl, toss chickpeas, soy sauce, vinegar, and sriracha. Let sit 10 minutes, then drain and reserve liquid. Add cornstarch to chickpeas and toss to coat.
Sauce
Meanwhile, in a small bowl, whisk garlic, broth, vinegar, brown sugar, ginger, hoisin sauce, soy sauce, and sesame oil; set aside until ready to use.
Stir-Fry
In a large skillet over medium heat, heat peanut oil. Fry chickpeas, stirring occasionally, until golden and crispy, 8 to 10 minutes. Transfer chickpeas to a plate; reserve oil in skillet.
Return skillet to medium heat. Cook red chile (if using), garlic, and red pepper flakes, stirring occasionally, until chile is lightly toasted, about 1 minute.
Slowly add sauce to skillet and stir until slightly thickened, 1 to 2 minutes. Return chickpeas to skillet and stir until coated in sauce. Remove from heat.
Divide rice among bowls. Spoon chickpea mixture over. Top with sesame seeds and scallions.",858 Calories,20 g,85 g,43 g,15 g,American,"vegan,vegetarian,weeknight meals,dinner,lunch","content-type: Recipe, locale: US, displayType: recipe, shortTitle: General Tso's Chickpeas, contentId: aafbf058-1de1-4f89-a6b4-e1da570abaf0, subsection: Recipes, collection: Winter Recipes, collection: Latest Recipes, collection: Vegetarian, collection: Delish Member Exclusives, collection: Vegan, collection: Dinners, American, dinner, lunch, vegan, vegetarian, weeknight meals, NUTRITION: vegan, NUTRITION: vegetarian, OCCASION: weeknight meals, CATEGORY: dinner, CATEGORY: lunch, TOTALTIME: 00:50:00, FILTERTIME: <1HR",3.86,7
https://www.delish.com/cooking/recipe-ideas/a69262792/italian-grinder-chicken-salad-wrap-recipe/,Italian Grinder Chicken Salad Wrap,This protein-packed chicken salad takes all the classic Italian grinder ingredients and wraps them all up into a hearty lunch that’s easy to eat on the go.,"https://hips.hearstapps.com/hmg-prod/images/italian-grinder-chicken-salad-wrap-socialindex-web-1093-jg-del099925-68e9acd115c02.jpg?crop=0.502xw:1.00xh;0.262xw,0&resize=1200:*",10,,4 servings,,"2 rotisserie chicken breasts, shredded (about 3 cups); 1/2 c. coarsely chopped iceberg lettuce; 1/2 c. finely chopped Black Forest ham (from about 2.5 oz.); 1/2 c. finely chopped provolone (from about 2.5 oz.); 1/2 c. thinly sliced pepperoni (from about 2.5 oz.); 1/2 c. thinly sliced soppressata (from about 2.5 oz.); 1/3 c. coarsely chopped banana peppers or peperoncini; 1/3 c. finely chopped red onion; 1/2 c. mayonnaise; 2 tbsp. red wine vinegar; 2 tsp. Italian seasoning; 4 (10"") flour tortillas","In a large bowl, mix chicken, lettuce, ham, provolone, pepperoni, soppressata, banana peppers, and onion.
In a medium bowl, stir mayonnaise, vinegar, and Italian seasoning. Pour over chicken salad and toss to combine.
Scoop 1 heaping cup chicken salad onto the center of each tortilla. Fold in left and right sides of tortilla, then fold end closest to you over filling. Tightly roll up bottom end, keeping sides tucked in, to form a burrito shape. Cut each wrap in half.",895 Calories,61 g,25 g,59 g,2 g,"American,Italian","Contains meat,30-minute meals,lunch,meat,poultry,salad,snack","content-type: Recipe, locale: US, displayType: recipe, shortTitle: Italian Grinder Chicken Salad Wrap, contentId: d2baf34f-224f-4d0c-ba91-70baee162115, subsection: Recipes, collection: Latest Recipes, collection: Lunch, collection: Delish Member Exclusives, 30-minute meals, American, Contains meat, Italian, lunch, meat, poultry, salad, snack, Italian grinder chicken salad wrap, grinder, chicken salad wrap, NUTRITION: Contains meat, OCCASION: 30-minute meals, CATEGORY: lunch, CATEGORY: meat, CATEGORY: poultry, CATEGORY: salad, CATEGORY: snack, TOTALTIME: 00:20:00, FILTERTIME: <30MINS",5.0,4
https://www.delish.com/cooking/recipe-ideas/a42477753/big-mac-crunchwrap-recipe/,Big Mac Crunchwrap,"Two hamburger patties, copycat mac sauce, lettuce, American cheese, dill pickles, and diced onions are wrapped in a sesame seed tortilla in this mashup.","https://hips.hearstapps.com/hmg-prod/images/big-mac-crunchwrap-index-68a8cf2f13a09.jpg?crop=0.563xw:1.00xh;0.220xw,0&resize=1200:*",10,,4 servings,,"1/2 c. mayonnaise; 2 tbsp. ketchup; 2 tbsp. yellow mustard; 2 tsp. sweet pickle relish; 1 tsp. apple cider vinegar; 1/2 tsp. kosher salt; 1/4 tsp. garlic powder; 1/4 tsp. onion powder; 1/4 tsp. sweet paprika; 1 lb. ground beef; Kosher salt; Freshly ground black pepper; 4 (10"") flour tortillas; 8 slices American cheese; 2 tbsp. finely chopped white onion; 1 dill pickle, sliced into 1/8""-thick slices, or presliced; 1/2 c. finely shredded iceberg lettuce; 20 mini round tortilla chips; Canola oil, for brushing; 1 tbsp. melted unsalted butter, cooled; 1 tsp. toasted sesame seeds","Mac Sauce
Big Mac Crunchwrap
Portion beef into 8 (2-ounce) balls. Working one at a time, place ball between 2 small sheets of parchment. Using the bottom of a glass or measuring cup, press to a thin 5"" circle. Stack patties with parchment, separating each layer.
Heat a flat-top griddle or large skillet over medium-high heat. Season one side of patty with 1/8 teaspoon salt and a pinch of pepper. Working in batches, sear patties 2 minutes, then flip and cook until patties begin to shrink slightly, about 1 minute more. Transfer to a plate and let cool slightly.
Place a tortilla on a work surface and build Crunchwrap in the following order: 1 slice of American cheese, 1 burger patty, 1 teaspoon Mac sauce, 1/2 teaspoon onion, 2 pickle slices, 1 tablespoon lettuce, 5 tortilla chips, 1 burger patty, 1 teaspoon Mac sauce, 1/2 teaspoon onion, 2 pickle slices, 1 tablespoon lettuce, and 1 slice of American cheese. Tightly fold edges of tortilla toward center, creating pleats (it’s okay if some cheese is exposed).
Reduce heat to medium and brush griddle or skillet with oil. Arrange Crunchwrap seam side down and cook until tortilla is golden brown and toasted, about 3 minutes per side. Repeat with remaining Crunchwraps.
Arrange Crunchwraps on a platter. Brush with butter and sprinkle with sesame seeds. Serve with remaining Mac sauce alongside.",926 Calories,33 g,39 g,69 g,3 g,American,"nut-free,Super Bowl,tailgate,dinner,lunch,snack","content-type: Recipe, locale: US, displayType: recipe, shortTitle: Big Mac Crunchwrap, contentId: ca762a00-6480-4703-a3cd-6e2e044cd00c, subsection: Recipes, collection: Most Popular, collection: Editors' Favorites, collection: Delish 100 Best: Dinners, collection: Appetizers, collection: Delish Member Exclusives, American, Super Bowl, dinner, lunch, nut-free, snack, tailgate, NUTRITION: nut-free, OCCASION: Super Bowl, OCCASION: tailgate, CATEGORY: dinner, CATEGORY: lunch, CATEGORY: snack, TOTALTIME: 01:00:00, FILTERTIME: >1HR",4.93,14
https://www.delish.com/cooking/recipe-ideas/a26279552/philly-cheesesteak-cabbage-wrap-recipe/,Philly Cheesesteak Cabbage Wraps,Cabbage wraps are the perfect low-carb option for enjoying Philly cheesesteaks.,"https://hips.hearstapps.com/hmg-prod/images/philly-cheesesteak-cabbage-wraps-socialindex-web-652-jg-del099925-695c21041bc5e.jpg?crop=0.502xw:1.00xh;0.342xw,0&resize=1200:*",15,,4 servings,,"8 large green cabbage leaves (from about 1 head); 2 tbsp. vegetable oil, divided; 2 large bell peppers, seeds and ribs removed, thinly sliced; 1/2 large yellow onion, thinly sliced; 1 tsp. dried oregano; Kosher salt; Freshly ground black pepper; 1 lb. skirt steak, thinly sliced; 6 slices provolone","Into a large pot of boiling water, using tongs, dip cabbage leaves into water until blanched, about 30 seconds. Transfer to a paper towel–lined plate to dry.
In a large skillet over medium heat, heat 1 Tbsp. oil. Add bell peppers, onion, and oregano; season with salt and pepper. Cook, stirring often, until onion and peppers are tender, about 7 minutes. Transfer to a plate. Add remaining tablespoon oil to skillet.
In same skillet over medium-high heat, heat remaining 1 Tbsp. oil. Arrange steak in a single layer; season with salt and pepper. Cook, undisturbed, until steak is seared on one side, about 2 minutes. Flip and cook until the steak is seared on second side and cooked to your liking, about 2 minutes more for medium.
Return onion and peppers to skillet and toss to combine. Top with an even layer of provolone and cover skillet with a tight-fitting lid. Cook until cheese is melty, about 1 minute.
Scoop some steak mixture onto the center of a cabbage leaf. Fold short end of leaf over, then roll up the long side like a burrito with an open end. Repeat with remaining leaves and steak mixture.",479 Calories,36 g,8 g,33 g,4 g,American,"gluten-free,low-carb,30-minute meals,weeknight meals,dinner","content-type: Recipe, locale: US, displayType: recipe, shortTitle: Philly Cheesesteak Cabbage Wraps, contentId: bef07c87-24c1-4e8e-be27-e79e27e4c2b2, subsection: Recipes, collection: High-Protein, collection: Latest Recipes, collection: Delish Member Exclusives, collection: Gluten-Free, collection: Keto, collection: Healthy, American, dinner, gluten-free, weeknight meals, Philly Cheesesteak Cabbage Wraps, cabbage wrap recipe, philly cheesesteak recipes, low-carb recipe, easy weeknight dinner recipes, cabbage recipes, NUTRITION: gluten-free, NUTRITION: low-carb, OCCASION: 30-minute meals, OCCASION: weeknight meals, CATEGORY: dinner, TOTALTIME: 00:30:00, FILTERTIME: <30MINS",4.12,8
https://www.delish.com/cooking/recipe-ideas/recipes/a57495/steak-fajita-power-bowls-recipe/,Steak Fajita Power Bowls,"Steak, sliced avocado, grilled peppers, black beans, and corn all sit upon rice in these steak fajita power bowls.","https://hips.hearstapps.com/hmg-prod/images/steak-fajita-power-bowls-socialindex-web-039-lp-del059925-6859858f8a99e.jpg?crop=0.502xw:1.00xh;0.473xw,0&resize=1200:*",30,,4 servings,,"2 tbsp. vegetable oil, divided; 1/2 yellow onion, sliced into half moons; 2 bell peppers, seeds and ribs removed, thinly sliced; Kosher salt; Freshly ground black pepper; 1 lb. skirt steak, cut into 1/2"" slices; Juice of 1/2 lime; 1/2 tsp. chili powder; 1/2 tsp. cumin; 4 c. cooked brown rice; 1 avocado, thinly sliced; 1 c. black beans, drained, rinsed; 1 c. frozen corn, thawed, warmed; 1 tbsp. finely chopped fresh cilantro; Sour cream, for serving","In a large skillet over medium heat, heat 1 Tbsp. oil. Add onions and peppers; season with salt and pepper. Cook, stirring frequently, until onions are translucent and peppers are tender, 7 to 10 minutes. Transfer to a plate.
In same skillet over medium-high heat, heat remaining 1 Tbsp. oil until very hot, about 30 seconds. Arrange steak in pan and pour lime juice over. Add chili powder and cumin; season with salt and pepper. Cook steak, undisturbed, until browned, 2 to 3 minutes. Continue to cook, stirring occasionally, to your preference, about 2 minutes more for medium. Transfer to another plate.
Divide rice among bowls. Top with steak, onions, peppers, avocado, beans, and corn. Top with cilantro. Drizzle with sour cream.",3259 Calories,164 g,310 g,130 g,70 g,,"weeknight meals,dinner,lunch","content-type: Recipe, locale: US, displayType: recipe, shortTitle: Steak Fajita Power Bowls, contentId: 2b7fd29a-dd3a-4fea-98c6-f9e742b73077, subsection: Recipes, collection: Delish Member Exclusives, collection: Lunch, collection: Healthy, collection: Dinners, Steak Fajita Power Bowls, grain bowl, brown rice, steak, black beans, avocado, healthy recipes, OCCASION: weeknight meals, CATEGORY: dinner, CATEGORY: lunch, TOTALTIME: 00:45:00, FILTERTIME: <1HR",4.6,5
